source,source_type,url,robots_status,terms_status,access_method,technical_feasibility,permission_status,implementation_status,last_tested,notes,next_action
IndiGo,airline,https://www.goindigo.in/,CHECKED,CHECKED,,NOT_VERIFIED_FOR_PRODUCTION,NOT_GRANTED,DEFERRED,,robots disallows /book-flight.html and booking paths; Terms prohibit automated systems/scrapers without permission,Do not automate restricted paths; obtain written authorization or an approved interface.
Air India,airline,https://www.airindia.com/,CHECKED,CHECKED,,NOT_VERIFIED_FOR_PRODUCTION,NOT_GRANTED,DEFERRED,,"robots allows many public paths, but Terms expressly prohibit robot/spider/scraper access without express written permission",Do not automate restricted paths; obtain written authorization or an approved interface.
Air India Express,airline,https://www.airindiaexpress.com/,CHECKED,NOT_VERIFIED,,NOT_VERIFIED_FOR_PRODUCTION,NOT_GRANTED,DEFERRED,,robots retrieved; Terms not sufficiently verified in this audit,Verify current Terms/robots and obtain written authorization before enabling live collection.
Akasa Air,airline,https://www.akasaair.com/,CHECKED,NOT_VERIFIED,,NOT_VERIFIED_FOR_PRODUCTION,NOT_GRANTED,DEFERRED,,"robots has no explicit disallow lines, but current ToS/authorization was not verified",Verify current Terms/robots and obtain written authorization before enabling live collection.
SpiceJet,airline,https://www.spicejet.com/,CHECKED,NOT_VERIFIED,,NOT_VERIFIED_FOR_PRODUCTION,NOT_GRANTED,DEFERRED,,robots disallows /externalBooking and API/public paths used for automated booking/search integration,Do not automate restricted paths; obtain written authorization or an approved interface.
MakeMyTrip,ota,https://www.makemytrip.com/,CHECKED,NOT_VERIFIED,,NOT_VERIFIED_FOR_PRODUCTION,NOT_GRANTED,DEFERRED,,"robots disallows /flight/search*, /flight/fis and /air/* flight paths",Do not automate restricted paths; obtain written authorization or an approved interface.
Yatra,ota,https://www.yatra.com/,CHECKED,NOT_VERIFIED,,NOT_VERIFIED_FOR_PRODUCTION,NOT_GRANTED,DEFERRED,,robots disallows /flights-india-vx/ and other flight-search/airfare paths,Do not automate restricted paths; obtain written authorization or an approved interface.
EaseMyTrip,ota,https://www.easemytrip.com/,CHECKED,NOT_VERIFIED,,NOT_VERIFIED_FOR_PRODUCTION,NOT_GRANTED,DEFERRED,,robots disallows /flight-search/listing* and cheap-flight search paths,Do not automate restricted paths; obtain written authorization or an approved interface.
Cleartrip,ota,https://www.cleartrip.com/,CHECKED,CHECKED,,NOT_VERIFIED_FOR_PRODUCTION,NOT_GRANTED,DEFERRED,,Cannot verify robots/ToS from accessible source in this audit,Verify current Terms/robots and obtain written authorization before enabling live collection.
Ixigo,ota,https://www.ixigo.com/,CHECKED,CHECKED,,NOT_VERIFIED_FOR_PRODUCTION,NOT_GRANTED,DEFERRED,,"Terms prohibit automated/non-human access, systematic retrieval, data mining, robots, scrapers without written permission",Do not automate restricted paths; obtain written authorization or an approved interface.
Goibibo,ota,https://www.goibibo.com/,CHECKED,NOT_VERIFIED,,NOT_VERIFIED_FOR_PRODUCTION,NOT_GRANTED,DEFERRED,,robots disallows /flights/new/ and /flights/*?* flight-search patterns,Do not automate restricted paths; obtain written authorization or an approved interface.
